0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,6,11,2,4,3,3,6,4,3,3,3,5,4,4,4,11,3,3,3,7,4,3,3,4,3,7,5,4,4,2,6
StrongUp,StronUp,Neutral,StrongUp,StrongUp,VeryWet,VeryWet,VeryWet,VeryWet,Clear,Clear,Clear,PC,Weak,Weak,StrongWest,Strong,Weak,Strong,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,Average,LessThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,Moderate,K,SIG,SIG,SIG,LowAtStation,Steep,Dry,Steep,OtherRapid,DryMMoistL,E_W_N,LittleChange,Moving,AllElse,LVorOther,SEQuad
Down,Neutral,Neutral,Down,Down,Dry,Neutral,Dry,Dry,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,StrongWest,Weak,None,None,Marked,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Aug20_Sep15,F,CThruK,PartInhibit,Average,Average,F,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Moderate,Strong,F,XNIL,XNIL,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,E_W_S,LittleChange,None,AllElse,LVorOther,SEQuad
Down,Neutral,Neutral,Down,Down,Neutral,Neutral,Neutral,Wet,PC,PC,Clear,Clear,Strong,Strong,Westerly,Strong,None,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,E,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,None,Unfavorable,None,E,SIG,SIG,SIG,LowNHighS,Steep,Average,ModerateOrLe,NoMajor,MoistMDryL,E_W_S,NegToPos,None,AllElse,Westerly,LV
Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Neutral,Neutral,PC,PC,PC,Cloudy,Weak,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Jul2_Jul15,I,CThruK,Stifling,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,HI,None,Weak,Slight,I,SVR,SVR,SVR,HighEvrywher,Steep,Dry,Steep,NoMajor,DryMMoistL,MovingFtorOt,SigPositive,QStationary,SWQuad,Westerly,LV
Neutral,Down,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,Other,Strong,None,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,SVR,Aug11_Aug20,C,CThruK,None,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,Average,ACEFK,PartInhibit,Strong,Strong,C,XNIL,XNIL,SVR,LowAtStation,ModerateOrLe,Dry,Steep,MarkedUpper,Other,E_W_N,LittleChange,None,AllElse,Westerly,LongAnticyc
Down,WeakUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Wet,VeryWet,Clear,Cloudy,Cloudy,Cloudy,Weak,Weak,Westerly,None,None,None,Some,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,May15_Jun14,J,CThruK,Stifling,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,None,Weak,Moderate,J,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,None,LittleChange,QStationary,LV,LVorOther,LV
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,VeryWet,Neutral,VeryWet,Wet,Clear,PC,Clear,Clear,None,None,StrongWest,None,Weak,Weak,None,IncCapDecIns,Increasing,WeakPos,LittleChange,XNIL,May15_Jun14,D,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,D,PartInhibit,Moderate,Slight,D,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,Other,None,SigNegative,Other,SWQuad,Westerly,DenvCyclone
WeakUp,StronUp,Down,Neutral,Neutral,Neutral,Dry,Dry,Dry,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,Decreasing,SIG,May15_Jun14,C,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Moderate,C,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Average,ModerateOrLe,OtherRapid,Other,E_W_N,NegToPos,None,AllElse,Westerly,LongAnticyc
Down,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Jul16_Aug10,H,CThruK,PartInhibit,Average,MoreThanAve,H,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,None,Moderate,Strong,H,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,None,AllElse,LVorOther,E_NE
Down,Down,Down,Down,Down,Neutral,VeryWet,Neutral,Neutral,Cloudy,PC,Cloudy,Cloudy,Weak,Weak,DCVZFavor,Weak,Weak,Weak,Marked,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Aug20_Sep15,I,CThruK,Stifling,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Weak,None,I,XNIL,XNIL,XNIL,LowSHighN,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,SigNegative,QStationary,AllElse,Westerly,DenvCyclone
